data,values_g,diff_g,values_e,diff_e,prod_pe,prod_et,venda_g,venda_e,cos_year,sin_year
2005-01-01,512555.163,-112284.35700000002,177653.088,-43609.97,2.2427094409271087,1.0,1.067444145337791,1.2458699304907823,0.9987630631539232,-0.04972266766166604
2005-02-01,540210.582,27655.419000000053,167570.003,-10083.084999999992,2.131956666272123,1.0,0.8247695458775939,1.231982798494269,0.9987630631539232,-0.04972266766166604
2005-03-01,610238.053,70027.4709999999,178347.196,10777.193,2.2069673095147464,1.0,0.9981077492753212,1.225707914869708,0.9987630631539232,-0.04972266766166604
2005-04-01,589855.454,-20382.59899999993,179719.148,1371.9519999999902,2.170102753256405,1.0,0.9184748590283067,1.2243151633994829,0.9987630631539232,-0.04972266766166604
2005-05-01,589441.557,-413.8969999999972,190540.906,10821.758000000002,2.230911206339957,1.0,0.7106661192422155,1.119367695317014,0.9987630631539232,-0.04972266766166604
2005-06-01,584973.253,-4468.304000000004,193649.683,3108.777000000002,2.1948112167365252,1.0,0.35906736103549197,1.0057151969517897,0.9987630631539232,-0.04972266766166604
2005-07-01,561376.359,-23596.89399999997,189345.714,-4303.968999999983,2.105723696320472,1.0,0.01,1.0559778914572289,0.9987630631539232,-0.04972266766166604
2005-08-01,593417.325,32040.9659999999,211019.196,21673.48199999999,2.218998860852443,1.0,0.5643061860013467,1.079021238576649,0.9987630631539232,-0.04972266766166604
2005-09-01,576880.56,-16536.764999999898,232163.793,21144.59700000001,2.1575383404296167,1.0,1.1289196482452042,1.1318275945874732,0.9987630631539232,-0.04972266766166604
2005-10-01,559519.422,-17361.138000000035,213786.899,-18376.894,2.0224497544751845,1.0,1.1841973145126694,1.265492435467342,0.9987630631539232,-0.04972266766166604
2005-11-01,570625.98,11106.55799999996,218715.469,4928.570000000007,1.8716404404156342,1.0,1.2344633764054076,1.2879883975290252,0.9987630631539232,-0.04972266766166604
2005-12-01,646149.476,75523.49600000004,248241.005,29525.535999999996,1.844956877301241,1.0,1.4001232461533493,1.3952590662588753,0.9987630631539232,-0.04972266766166604
2006-01-01,540321.394,-105828.08200000004,277455.593,29214.58799999999,2.0368607962405427,1.0,1.61069525526359,1.5352589450151166,0.9989128213282501,-0.0466173292460585
2006-02-01,550134.084,9812.69000000006,281969.41,4513.816999999981,1.9465581766909794,1.0,1.7885039064538886,1.5719512261230544,0.9989128213282501,-0.0466173292460585
2006-03-01,615765.614,65631.52999999991,257521.237,-24448.17299999998,2.0078004107662024,1.0,2.3224864066421347,1.7916870798331168,0.9989128213282501,-0.0466173292460585
2006-04-01,599551.824,-16213.78999999992,245872.336,-11648.900999999983,1.727177900069945,1.0,2.33353114221729,1.7499188160825092,0.9989128213282501,-0.0466173292460585
2006-05-01,611857.529,12305.704999999958,300792.976,54920.640000000014,1.748227059509875,1.0,2.2888556260632935,1.46995587410148,0.9989128213282501,-0.0466173292460585
2006-06-01,574508.006,-37349.52299999993,304626.326,3833.3499999999767,2.0787766582766682,1.0,2.1575383404296167,1.3280882564369565,0.9989128213282501,-0.0466173292460585
2006-07-01,559654.244,-14853.762000000104,317084.422,12458.09600000002,2.0923436423886326,1.0,2.230911206339957,1.3555304235629215,0.9989128213282501,-0.0466173292460585
2006-08-01,605442.046,45787.802000000025,333675.58,16591.157999999996,1.9929003555543081,1.0,2.2427094409271087,1.376465016781498,0.9989128213282501,-0.0466173292460585
2006-09-01,590027.422,-15414.623999999953,346615.732,12940.152000000002,1.9777363048894598,1.0,2.144825257832869,1.2976976079952334,0.9989128213282501,-0.0466173292460585
2006-10-01,588774.628,-1252.7939999999944,343433.322,-3182.4100000000326,2.051045148649316,1.0,2.1948112167365252,1.2492661966427334,0.9989128213282501,-0.0466173292460585
2006-11-01,567319.629,-21454.99900000007,344345.112,911.7900000000373,1.9622940134703135,1.0,2.218998860852443,1.2516439017598064,0.9989128213282501,-0.0466173292460585
2006-12-01,638304.319,70984.69000000006,390286.304,45941.19199999998,1.9141386734013592,1.0,2.118925351984238,1.2458785731401385,0.9989128213282501,-0.0466173292460585
2007-01-01,559463.0489,-78841.27009999997,387144.277,-3142.027000000002,1.8716404404156342,1.0,2.0368607962405427,1.3909089743489191,0.9990529244565752,-0.04351154024812912
2007-02-01,541452.4033,-18010.645600000047,364148.9312,-22995.34580000001,1.683015500176723,1.0,2.0224497544751845,1.3913571948721033,0.9990529244565752,-0.04351154024812912
2007-03-01,622086.3873,80633.98399999994,430523.5812,66374.65000000002,1.6357066590737348,1.0,2.0078004107662024,1.3863583731676947,0.9990529244565752,-0.04351154024812912
2007-04-01,581697.2163,-40389.17099999997,404925.075,-25598.506200000003,1.4001232461533493,1.0,2.0787766582766682,1.4718487060099328,0.9990529244565752,-0.04351154024812912
2007-05-01,613093.1375,31395.921199999982,423981.7661,19056.6911,1.8078142780207809,1.0,2.182524988542944,1.4671581567405438,0.9990529244565752,-0.04351154024812912
2007-06-01,601823.1032,-11270.03429999994,433099.8645,9118.098400000015,1.768654571773885,1.0,2.065013696424943,1.3034627145662407,0.9990529244565752,-0.04351154024812912
2007-07-01,585626.9738,-16196.129399999976,453207.2702,20107.405700000003,1.897418029079321,1.0,1.683015500176723,1.1882881175039977,0.9990529244565752,-0.04351154024812912
2007-08-01,609542.6401,23915.666299999924,493069.4652,39862.19499999995,1.82662118690427,1.0,1.557515247268135,1.1171016471824222,0.9990529244565752,-0.04351154024812912
2007-09-01,572173.8772,-37368.76289999997,469893.8568,-23175.60839999997,1.3629601374221922,1.0,1.4993704541731268,1.0967125939316322,0.9990529244565752,-0.04351154024812912
