data,prod_pe,prod_et
2018-10-01,1621185.57,969033.868
2018-11-01,1355110.958,674438.669
2018-12-01,1539189.295,318038.179
2019-01-01,1417286.146,10383.33
2019-02-01,1352117.507,5522.224
2019-03-01,1526922.713,145285.851
2019-04-01,1398320.605,830468.683
2019-05-01,1512937.134,1354668.016
2019-06-01,1441822.645,1460692.801
2019-07-01,1404444.836,1571069.743
2019-08-01,1483582.783,1758499.081
2019-09-01,1435071.914,1556297.901
2019-10-01,1508105.852,1582729.725
2019-11-01,1201865.077,661083.302
2019-12-01,1402373.953,71598.617
2020-01-01,1491656.733,3094.86
2020-02-01,1382488.775,11709.18
2020-03-01,1427591.845,174987.362
2020-04-01,1228964.578,1023529.681
2020-05-01,1358262.566,1390145.621
2020-06-01,1345391.746,1293959.796
2020-07-01,1362355.786,1477633.87
2020-08-01,1444261.685,1461858.211
2020-09-01,917813.9268,1353167.306
2020-10-01,1109152.453,1028625.064
2020-11-01,1250610.618,432719.994
2020-12-01,1298179.467,38755.806
2021-01-01,1438472.675,1160.209
2021-02-01,1126047.569,1465.074
2021-03-01,1336951.587,81011.6
2021-04-01,1361680.536,578607.217
2021-05-01,1392210.925,1129306.149
2021-06-01,1368633.389,998057.238
2021-07-01,1423903.569,1115025.035
2021-08-01,1421347.972,1134248.448
2021-09-01,1339625.724,1059275.842
